VendorNumber,VendorName,Brand,PurchasePrice,Actual_sellingPrice,Volume,Description,total_purchase_quantity,total_purchases_amount_in_dollars,TOTAL_SALES_QUANTITY,TOTAL_SALES_PRICE,TOTAL_SALES_DOLLARS,TOTALSALES_EXCISE_TAX,freight_Cost,GrossProfit,Stockturnover,ProfitMargin,SalesToPurchaseRatio,Unitprice,Ordersize,Unsold_inventory_value
8673,STE MICHELLE WINE ESTATES,13344,3.57,5.29,1500.0,Columbia Crest Two Vines Rsl,1,3.57,1,5.29,5.29,0.22,15919.7,1.7200000000000002,1.0,32.51417769376182,1.4817927170868348,3.57,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,18073,3.94,13.99,750.0,Debauchery Pnt Nr,1,3.94,2,11.58,11.58,0.22,68054.7,7.640000000000001,2.0,65.97582037996547,2.939086294416244,3.94,Small,-3.94
9815,WINE GROUP INC,26950,3.99,5.79,750.0,Firefly Ridge Chard,1,3.99,1,5.79,5.79,0.11,27100.41,1.7999999999999998,1.0,31.088082901554404,1.4511278195488722,3.99,Small,0.0
516,BANFI PRODUCTS CORP,17172,4.1,5.99,750.0,Riunite Sweet White,1,4.1,27,131.78,161.73000000000002,2.98,8510.41,157.63000000000002,27.0,97.4649106535584,39.44634146341464,4.1,Small,-106.6
5612,MILTONS DISTRIBUTING CO,17675,4.14,6.29,750.0,Albero Sparkling Wh Organic,1,4.14,1,5.79,5.79,0.11,9.46,1.6500000000000004,1.0,28.497409326424876,1.3985507246376814,4.14,Small,0.0
3960,DIAGEO NORTH AMERICA INC,7902,0.72,0.99,50.0,Piehole Apple Pie,6,4.32,158,55.44,156.42,8.18,257032.07,152.1,26.333333333333332,97.23820483314155,36.20833333333333,0.7200000000000001,Small,-109.44
9552,M S WALKER INC,726,4.79,5.99,1000.0,Allen's Blue Curacao Liqueur,1,4.79,1,5.99,5.99,1.05,55551.82,1.2000000000000002,1.0,20.03338898163606,1.2505219206680585,4.79,Small,0.0
12546,JIM BEAM BRANDS COMPANY,6064,4.99,6.99,750.0,Sauza Sprklg Wild Berry Marg,1,4.99,4,27.96,27.96,3.16,123880.97,22.97,4.0,82.15307582260371,5.603206412825651,4.99,Small,-14.97
9165,ULTRA BEVERAGE COMPANY LLP,21691,5.17,7.49,750.0,Tracia Syrah,1,5.17,6,37.45,44.94,0.66,68054.7,39.769999999999996,6.0,88.49577214063194,8.692456479690522,5.17,Small,-25.85
4425,MARTIGNETTI COMPANIES,16425,5.36,7.99,750.0,Kirkland Signature Supr Brdx,1,5.36,1,7.99,7.99,0.11,144929.24,2.63,1.0,32.91614518147684,1.4906716417910448,5.36,Small,0.0
12546,JIM BEAM BRANDS COMPANY,6066,5.38,6.99,750.0,Sauza Sparkling Margarita,1,5.38,24,146.79,167.76,18.93,123880.97,162.38,24.0,96.793037672866,31.182156133828997,5.38,Small,-123.74
9165,ULTRA BEVERAGE COMPANY LLP,22619,5.51,7.99,750.0,Promesses de France CdRhone,1,5.51,9,47.94,71.91,1.0,68054.7,66.39999999999999,9.0,92.33764427756917,13.050816696914701,5.51,Small,-44.08
9552,M S WALKER INC,8151,0.71,0.99,50.0,St Elder Elderflower Liqueur,8,5.68,415,217.8,410.85,21.26,55551.82,405.17,51.875,98.61750030424729,72.33274647887325,0.71,Small,-288.96999999999997
12546,JIM BEAM BRANDS COMPANY,4295,5.75,7.99,750.0,Ronrico Silver Rum,1,5.75,1,7.99,7.99,0.79,123880.97,2.24,1.0,28.03504380475595,1.3895652173913045,5.75,Small,0.0
7153,PINE STATE TRADING CO,14360,5.8,8.99,750.0,Redtree Moscato,1,5.8,1,8.99,8.99,0.11,15884.82,3.1900000000000004,1.0,35.483870967741936,1.55,5.8,Small,0.0
4425,MARTIGNETTI COMPANIES,16688,6.16,9.49,750.0,Ch Lestiac Cotes de Bordeaux,1,6.16,1,9.49,9.49,0.11,144929.24,3.33,1.0,35.08956796628029,1.5405844155844155,6.16,Small,0.0
8004,SAZERAC CO INC,552,6.42,8.99,1000.0,Tijuana White Tequilla,1,6.42,1,8.99,8.99,1.05,50293.62,2.5700000000000003,1.0,28.58731924360401,1.4003115264797508,6.42,Small,0.0
7153,PINE STATE TRADING CO,41231,6.53,9.99,750.0,Mad Dogs & Englishmen Jumil,1,6.53,20,251.82,279.8,2.2,15884.82,273.27000000000004,20.0,97.6661901358113,42.848392036753445,6.53,Small,-124.07000000000001
4425,MARTIGNETTI COMPANIES,18458,6.8,9.99,750.0,Tussock Jumper Chard,1,6.8,1,9.99,9.99,0.11,144929.24,3.1900000000000004,1.0,31.931931931931935,1.4691176470588236,6.8,Small,0.0
7153,PINE STATE TRADING CO,26508,6.81,10.49,750.0,Ch Maycott Red,1,6.81,1,10.49,10.49,0.11,15884.82,3.6800000000000006,1.0,35.081029551954245,1.5403817914831133,6.81,Small,0.0
90017,THE IMPORTED GRAPE LLC,24200,6.89,9.99,750.0,Pacifico Sur Rsv Malbec,1,6.89,1,9.99,9.99,0.11,80.03,3.1000000000000005,1.0,31.031031031031038,1.4499274310595067,6.89,Small,0.0
2000,SOUTHERN WINE & SPIRITS NE,24479,1.15,1.79,187.0,ZIPZ Pnt Grigio,6,6.9,6,1.79,10.74,0.17,19016.59,3.84,1.0,35.754189944134076,1.5565217391304347,1.1500000000000001,Small,0.0
3924,HEAVEN HILL DISTILLERIES,5224,7.08,9.49,750.0,Basilica Amaretto,1,7.08,5,47.45,47.45,3.95,14069.87,40.370000000000005,5.0,85.07903055848261,6.701977401129944,7.08,Small,-28.32
1590,DIAGEO CHATEAU ESTATE WINES,16330,7.14,12.99,750.0,Cherry On Top Sweet White,1,7.14,5,64.95,64.95,0.55,7259.75,57.81,5.0,89.00692840646651,9.096638655462186,7.14,Small,-28.56
12546,JIM BEAM BRANDS COMPANY,5250,7.14,9.99,750.0,DeKuyper Buttershots Trav,1,7.14,16,175.84,175.84,12.64,123880.97,168.70000000000002,16.0,95.93949044585987,24.627450980392158,7.14,Small,-107.1
8352,LUXCO INC,1007,7.19,9.99,50.0,12 Days of Pearls Gift Set,1,7.19,31,249.75,309.69,1.56,10261.6,302.5,31.0,97.67832348477509,43.07232267037552,7.19,Small,-215.70000000000002
7245,PROXIMO SPIRITS INC.,3096,0.72,0.99,50.0,Three Olives Loopy Vodka,10,7.2,19,5.9399999999999995,18.810000000000002,0.98,38994.78,11.610000000000003,1.9,61.722488038277525,2.6125000000000003,0.72,Small,-6.4799999999999995
3960,DIAGEO NORTH AMERICA INC,6129,1.45,1.99,200.0,The Club Mudslide,5,7.25,42,33.83,83.58,8.82,257032.07,76.33,8.4,91.32567599904283,11.528275862068964,1.45,Small,-53.65
4692,KOBRAND CORPORATION,40583,7.33,10.99,750.0,M Chiarlo Gavi Wh,1,7.33,110,802.27,1208.9,12.200000000000001,9139.38,1201.5700000000002,110.0,99.39366366117959,164.924965893588,7.33,Small,-798.97
480,BACARDI USA INC,4357,7.46,9.99,750.0,Bacardi Oakheart Spiced Trav,1,7.46,40,369.63,399.6,31.580000000000002,89286.27,392.14000000000004,40.0,98.13313313313314,53.5656836461126,7.46,Small,-290.94
6213,MHW LTD,4703,0.77,0.99,50.0,Blue Chair Bay Coconut Rum,10,7.7,2745,1270.17,2717.55,141.27,9621.58,2709.8500000000004,274.5,99.71665654725764,352.92857142857144,0.77,Small,-2105.9500000000003
516,BANFI PRODUCTS CORP,18807,7.94,11.99,750.0,C Y Toro Diablo Red,1,7.94,1,11.99,11.99,0.11,8510.41,4.05,1.0,33.778148457047536,1.5100755667506296,7.94,Small,0.0
12546,JIM BEAM BRANDS COMPANY,122,7.96,10.99,750.0,DeKuyper Mixed Berry Medley,1,7.96,23,230.79,252.77,18.150000000000002,123880.97,244.81,23.0,96.85089211536179,31.75502512562814,7.96,Small,-175.12
653,STATE WINE & SPIRITS,24438,8.1,11.99,750.0,Quara Malbec,1,8.1,1,11.99,11.99,0.11,8014.9800000000005,3.8900000000000006,1.0,32.44370308590492,1.480246913580247,8.1,Small,0.0
10754,PERFECTA WINES,35290,4.27,11.99,750.0,Vampire Transylvania Merlot,2,8.54,35,77.88,227.15,3.91,28720.52,218.61,17.5,96.24036979969183,26.598360655737707,4.27,Small,-140.91
3960,DIAGEO NORTH AMERICA INC,819,8.56,11.99,1000.0,Scoresby Scotch,1,8.56,1,11.99,11.99,1.05,257032.07,3.4299999999999997,1.0,28.607172643869887,1.4007009345794392,8.56,Small,0.0
4692,KOBRAND CORPORATION,20420,8.66,12.99,750.0,Vigne A Porrona Rosso,1,8.66,21,194.85,272.79,2.33,9139.38,264.13,21.0,96.82539682539681,31.500000000000004,8.66,Small,-173.2
660,SAZERAC NORTH AMERICA INC.,8563,8.72,10.99,1750.0,Chi Chi's Chocolate Malt RTD,1,8.72,42,395.64,461.58,77.22,17932.33,452.85999999999996,42.0,98.11083669136444,52.933486238532105,8.72,Small,-357.52000000000004
9165,ULTRA BEVERAGE COMPANY LLP,11209,8.78,12.99,750.0,Pezzi King Svgn Bl Dry Creek,1,8.78,171,1571.79,2221.29,18.92,68054.7,2212.5099999999998,171.0,99.60473418599102,252.99430523917997,8.78,Small,-1492.6
9165,ULTRA BEVERAGE COMPANY LLP,14347,9.14,13.99,750.0,De Martino Cab Svgn Estate,1,9.14,1,13.99,13.99,0.11,68054.7,4.85,1.0,34.66761972837741,1.5306345733041575,9.14,Small,0.0
9552,M S WALKER INC,19526,9.39,13.99,750.0,Rhone Roger Sabon 13 CDR Rou,1,9.39,103,1217.13,1440.97,11.34,55551.82,1431.58,103.0,99.34835562156047,153.45793397231097,9.39,Small,-957.7800000000001
1650,Circa Wines,23484,9.45,13.99,750.0,Ranch 32 Chard,1,9.45,1,13.99,13.99,0.11,211.97,4.540000000000001,1.0,32.4517512508935,1.4804232804232806,9.45,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,9191,0.73,0.99,50.0,Mojoshot Blue Lagoon RTD,13,9.49,320,164.34,316.8,16.44,68054.7,307.31,24.615384615384617,97.00441919191918,33.382507903055846,0.73,Small,-224.10999999999999
7153,PINE STATE TRADING CO,5654,9.52,11.99,750.0,Merry Irish Cream Liqueur,1,9.52,3,35.97,35.97,2.37,15884.82,26.45,3.0,73.53350013900473,3.778361344537815,9.52,Small,-19.04
653,STATE WINE & SPIRITS,38966,9.73,14.99,750.0,Henri Bourgeois Svgn Blanc,1,9.73,1,14.99,14.99,0.11,8014.9800000000005,5.26,1.0,35.090060040026685,1.5405960945529291,9.73,Small,0.0
12546,JIM BEAM BRANDS COMPANY,3333,9.77,12.99,750.0,Pinnacle Atomic Hots,1,9.77,1,12.99,12.99,0.79,123880.97,3.2200000000000006,1.0,24.788298691301005,1.3295803480040942,9.77,Small,0.0
2000,SOUTHERN WINE & SPIRITS NE,22226,9.99,15.99,750.0,Geyser Peak Pnt Nr,1,9.99,4,71.96,71.96,0.44,19016.59,61.96999999999999,4.0,86.11728738187881,7.203203203203202,9.99,Small,-29.97
4425,MARTIGNETTI COMPANIES,20222,9.99,14.99,750.0,Nantucket Vyd Chard,1,9.99,1,14.99,14.99,0.11,144929.24,5.0,1.0,33.3555703802535,1.5005005005005005,9.99,Small,0.0
9552,M S WALKER INC,25112,10.06,14.99,750.0,Voss Svgn Blanc Napa Vly,1,10.06,1,14.99,14.99,0.11,55551.82,4.93,1.0,32.88859239492995,1.4900596421471173,10.06,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,12253,5.22,14.99,750.0,Cecchi Natio Organic Chianti,2,10.44,92,431.46000000000004,735.08,10.2,68054.7,724.64,46.0,98.57974642215812,70.40996168582376,5.22,Small,-469.79999999999995
12546,JIM BEAM BRANDS COMPANY,3406,10.78,14.99,750.0,Skinnygirl Tangerine Vodka,1,10.78,158,1034.31,2368.42,124.5,123880.97,2357.64,158.0,99.54484424215299,219.70500927643786,10.78,Small,-1692.4599999999998
90047,CRUSH WINES,18394,10.96,16.99,750.0,Ravines Gewurztraminer,1,10.96,1,16.99,16.99,0.11,1457.73,6.029999999999998,1.0,35.49146556798116,1.5501824817518246,10.96,Small,0.0
653,STATE WINE & SPIRITS,17759,11.03,15.99,750.0,Joseph Mellot Reuilly Svgn B,1,11.03,1,15.99,15.99,0.11,8014.9800000000005,4.960000000000001,1.0,31.0193871169481,1.4496826835902086,11.03,Small,0.0
480,BACARDI USA INC,6916,11.1,14.99,200.0,St Germain Liqueur,1,11.1,25,314.79,374.75,5.25,89286.27,363.65,25.0,97.03802535023348,33.76126126126126,11.1,Small,-266.4
12546,JIM BEAM BRANDS COMPANY,788,11.19,14.99,750.0,Skinnygirl Cucumber Vodka,1,11.19,52,209.86,779.48,40.97,123880.97,768.29,52.0,98.564427567096,69.65862377122431,11.19,Small,-570.6899999999999
90047,CRUSH WINES,14157,11.76,17.99,750.0,Solar de Randez Crianza,1,11.76,1,17.99,17.99,0.11,1457.73,6.229999999999999,1.0,34.63035019455252,1.5297619047619047,11.76,Small,0.0
3252,E & J GALLO WINERY,7316,12.02,15.99,1750.0,New Amsterdam Red Berry Vdka,1,12.02,4,63.96,63.96,7.36,61966.91,51.94,4.0,81.20700437773608,5.321131447587355,12.02,Small,-36.06
4425,MARTIGNETTI COMPANIES,21159,13.1,27.99,750.0,Nyers Vyds Sage Canyon Red,1,13.1,7,94.94999999999999,132.93,0.78,144929.24,119.83000000000001,7.0,90.14518919732191,10.14732824427481,13.1,Small,-78.6
6785,PALM BAY INTERNATIONAL INC,20050,2.62,7.99,750.0,Occhio A Vento Vermentino,5,13.1,17,11.97,67.83,1.9100000000000001,13605.41,54.73,3.4,80.68701164676396,5.177862595419847,2.62,Small,-31.44
1128,BROWN-FORMAN CORP,3063,13.13,24.99,750.0,Chambord Vodka,1,13.13,2,35.98,35.98,1.58,68601.68,22.849999999999994,2.0,63.507504168982756,2.7402894135567397,13.13,Small,-13.13
9552,M S WALKER INC,24559,13.42,19.99,750.0,Dom Janasse Terre d'Argile,1,13.42,51,879.56,1019.4899999999999,5.62,55551.82,1006.0699999999999,51.0,98.68365555326683,75.96795827123695,13.42,Small,-671.0
7749,R.P.IMPORTS INC,20442,13.51,19.99,750.0,Vigna Magana Dignus,1,13.51,18,279.85999999999996,359.82,1.99,91.5,346.31,18.0,96.24534489466956,26.63360473723168,13.51,Small,-229.67
90037,THE PIERPONT GROUP LLC,16880,13.51,19.99,750.0,Chilcas Pinot Noir,1,13.51,1,19.99,19.99,0.11,27.98,6.479999999999999,1.0,32.416208104052025,1.479644707623982,13.51,Small,0.0
4425,MARTIGNETTI COMPANIES,6450,13.6,19.99,750.0,Sebastiani Merlot Sonoma,1,13.6,1,19.99,19.99,0.11,144929.24,6.389999999999999,1.0,31.965982991495746,1.4698529411764705,13.6,Small,0.0
10754,PERFECTA WINES,16531,14.09,20.99,750.0,Pazo de Galegos Albarino,1,14.09,11,209.89999999999998,230.89,1.21,28720.52,216.79999999999998,11.0,93.89752696089046,16.38679914833215,14.09,Small,-140.9
653,STATE WINE & SPIRITS,8060,14.28,21.99,750.0,Salers Apertif Gentiane,1,14.28,1,21.99,21.99,0.11,8014.9800000000005,7.709999999999999,1.0,35.06139154160982,1.5399159663865545,14.28,Small,0.0
1650,Circa Wines,23442,14.28,20.99,750.0,Sule Susumaniello IGP,1,14.28,1,20.99,20.99,0.11,211.97,6.709999999999999,1.0,31.967603620771794,1.4698879551820727,14.28,Small,0.0
4425,MARTIGNETTI COMPANIES,40566,7.23,12.99,750.0,Pascual Toso Cab Svgn Argn,2,14.46,28,209.8,293.72,3.11,144929.24,279.26000000000005,14.0,95.07694402832631,20.31258644536653,7.23,Small,-187.98000000000002
17035,PERNOD RICARD USA,15954,7.23,14.99,750.0,Jacobs Crk Moscato Rose,2,14.46,6,74.95,89.94,0.66,123780.22,75.47999999999999,3.0,83.9226150767178,6.219917012448132,7.23,Small,-28.92
516,BANFI PRODUCTS CORP,37921,14.47,31.99,750.0,C Y Toro Carmenere Terrunyo,1,14.47,8,131.94,175.92,0.89,8510.41,161.45,8.0,91.77467030468395,12.157567380787835,14.47,Small,-101.29
480,BACARDI USA INC,4319,7.29,9.99,750.0,Bacardi Limon Traveler,2,14.58,41,309.69,409.59000000000003,32.31,89286.27,395.01000000000005,20.5,96.4403427818062,28.092592592592595,7.29,Small,-284.31
9552,M S WALKER INC,19137,14.76,21.99,750.0,Gordon Est Cab Svgn Columbia,1,14.76,6,131.94,131.94,0.66,55551.82,117.17999999999999,6.0,88.81309686221009,8.939024390243903,14.76,Small,-73.8
17035,PERNOD RICARD USA,3196,14.81,19.99,750.0,Absolut Orient Apple Vodka,1,14.81,6,119.94,119.94,4.74,123780.22,105.13,6.0,87.65215941303985,8.098582039162727,14.81,Small,-74.05
12546,JIM BEAM BRANDS COMPANY,3250,7.41,12.99,750.0,Pinnacle Cake Vodka,2,14.82,9,37.96,85.41,7.09,123880.97,70.59,4.5,82.64840182648403,5.763157894736842,7.41,Small,-51.870000000000005
10754,PERFECTA WINES,902,0.64,0.99,375.0,Creta Olympia Red,24,15.36,24,7.92,23.759999999999998,1.34,28720.52,8.399999999999999,1.0,35.35353535353535,1.546875,0.64,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,17100,5.19,7.99,750.0,Z-52 Znfdl Lodi Old Vines,3,15.57,214,966.7900000000001,1709.8600000000001,23.77,68054.7,1694.2900000000002,71.33333333333333,99.0893991320927,109.81759794476558,5.19,Small,-1095.0900000000001
6213,MHW LTD,917,15.71,21.99,750.0,Douce Provence Pear Liqueur,1,15.71,1,21.99,21.99,0.79,9621.58,6.279999999999998,1.0,28.55843565256934,1.3997453851050286,15.71,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,17864,7.89,11.99,750.0,Mermelada Sassy Red,2,15.78,2,11.99,23.98,0.22,68054.7,8.200000000000001,1.0,34.19516263552961,1.5196451204055768,7.89,Small,0.0
3960,DIAGEO NORTH AMERICA INC,5361,0.79,0.99,50.0,Grind Espresso Shot,20,15.8,296,100.98,293.04,15.32,257032.07,277.24,14.8,94.6082446082446,18.546835443037974,0.79,Small,-218.04000000000002
7245,PROXIMO SPIRITS INC.,3152,7.91,10.99,750.0,Three Olives Jacked Apple,2,15.82,61,527.52,670.39,48.07,38994.78,654.5699999999999,30.5,97.64017959695101,42.376106194690266,7.91,Small,-466.69
1650,Circa Wines,22225,8.05,13.99,750.0,Gifft Chardonnay,2,16.1,20,153.89000000000001,279.8,2.22,211.97,263.7,10.0,94.24588992137241,17.37888198757764,8.05,Small,-144.9
90024,VINILANDIA USA,44917,16.55,24.99,750.0,Ferreira 10-Yr Tawny Port,1,16.55,1,24.99,24.99,0.11,2802.64,8.439999999999998,1.0,33.7735094037615,1.5099697885196373,16.55,Small,0.0
8004,SAZERAC CO INC,4424,8.39,11.99,1750.0,Barbarossa Spiced Rum,2,16.78,86,417.62,945.14,158.07,50293.62,928.36,43.0,98.22460164631696,56.325387365911794,8.39,Small,-704.76
90024,VINILANDIA USA,22592,16.89,24.99,750.0,Brandborg Benchlands Pnt Nr,1,16.89,1,24.99,24.99,0.11,2802.64,8.099999999999998,1.0,32.41296518607442,1.4795737122557726,16.89,Small,0.0
4425,MARTIGNETTI COMPANIES,25154,17.0,24.99,750.0,Vina Cobos Cocodrilo Corte,1,17.0,75,1624.35,1874.25,8.28,144929.24,1857.25,75.0,99.09297052154194,110.25,17.0,Small,-1258.0
201359,FLAVOR ESSENCE INC,90609,17.0,24.99,162.5,Flavor Essence Variety 5 Pak,1,17.0,59,1324.47,1474.4099999999999,1.24,0.09,1457.4099999999999,59.0,98.84699642568891,86.72999999999999,17.0,Small,-986.0
17031,FLAG HILL WINERY & VINEYARD,37398,8.61,12.49,375.0,Flag Hill Heritage Rd NH,2,17.22,4,37.47,49.96,0.22999999999999998,1573.31,32.74,2.0,65.5324259407526,2.9012775842044136,8.61,Small,-17.22
4425,MARTIGNETTI COMPANIES,25184,17.23,24.99,750.0,Riglos Gran Cab Svgn,1,17.23,74,1424.4299999999998,1849.26,8.17,144929.24,1832.03,74.0,99.06827595903226,107.3279164248404,17.23,Small,-1257.79
653,STATE WINE & SPIRITS,9373,17.31,21.99,750.0,Rothman & Winter Pear Liquer,1,17.31,1,21.99,21.99,0.79,8014.9800000000005,4.68,1.0,21.282401091405184,1.2703639514731369,17.31,Small,0.0
4425,MARTIGNETTI COMPANIES,24994,17.44,25.99,750.0,Couvent des Thorins Moulin,1,17.44,25,649.75,649.75,2.75,144929.24,632.31,25.0,97.31589072720276,37.25630733944954,17.44,Small,-418.56000000000006
9552,M S WALKER INC,18668,8.78,18.99,750.0,G Bertrand T Jeffrsn Cremant,2,17.56,23,155.88,298.77,2.56,55551.82,281.21,11.5,94.12256920038826,17.014236902050115,8.78,Small,-184.38
9552,M S WALKER INC,401,5.9,7.49,1000.0,S S Pierce Ninety Nine Bl W,3,17.7,9,14.98,67.41,9.45,55551.82,49.709999999999994,3.0,73.7427681352915,3.8084745762711862,5.8999999999999995,Small,-35.400000000000006
10754,PERFECTA WINES,17385,17.8,36.49,750.0,Ch La Fleur Patris-Querre 09,1,17.8,19,311.88,493.81,2.11,28720.52,476.01,19.0,96.39537473927219,27.742134831460675,17.8,Small,-320.40000000000003
9165,ULTRA BEVERAGE COMPANY LLP,797,18.31,23.99,750.0,Creme Yvette Liqueur,1,18.31,2,47.98,47.98,1.58,68054.7,29.669999999999998,2.0,61.83826594414339,2.6204259967231023,18.31,Small,-18.31
4425,MARTIGNETTI COMPANIES,19396,4.6,11.99,750.0,La Petite Maison Ventoux Bl,4,18.4,23,97.86,160.77,2.54,144929.24,142.37,5.75,88.55507868383404,8.7375,4.6,Small,-87.39999999999999
9165,ULTRA BEVERAGE COMPANY LLP,3907,18.51,24.99,750.0,St George Calif Citrus Vodka,1,18.51,1,24.99,24.99,0.79,68054.7,6.479999999999997,1.0,25.930372148859533,1.3500810372771472,18.51,Small,0.0
9165,ULTRA BEVERAGE COMPANY LLP,19832,6.2,8.99,750.0,Altadonna Vermentino,3,18.6,59,251.72,530.41,6.59,68054.7,511.80999999999995,19.666666666666668,96.49327878433664,28.516666666666662,6.2,Small,-347.2
7153,PINE STATE TRADING CO,22097,9.33,14.99,750.0,Hacienda Haro Lopez Cri Rsva,2,18.66,12,44.97,179.88,1.35,15884.82,161.22,6.0,89.62641761174116,9.639871382636656,9.33,Small,-93.3
9165,ULTRA BEVERAGE COMPANY LLP,11341,4.69,9.99,750.0,Herzog Kosher Wh Znfdl,4,18.76,14,34.95,97.86,1.57,68054.7,79.1,3.5,80.82975679542203,5.216417910447761,4.69,Small,-46.900000000000006
9165,ULTRA BEVERAGE COMPANY LLP,16238,9.45,13.99,750.0,C'est La Vie Syrah-Grenache,2,18.9,2,13.99,27.98,0.22,68054.7,9.080000000000002,1.0,32.4517512508935,1.4804232804232806,9.45,Small,0.0
1601,VRANKEN AMERICA,24154,18.91,27.99,1500.0,Ch La Gordonne Chapelle Rose,1,18.91,6,167.94,167.94,1.32,1048.97,149.03,6.0,88.74002619983328,8.881015335801163,18.91,Small,-94.55
3960,DIAGEO NORTH AMERICA INC,5104,18.93,24.99,750.0,Nuvo Lemon Sorbet Liqueur,1,18.93,5,124.94999999999999,124.94999999999999,3.95,257032.07,106.01999999999998,5.0,84.84993997599038,6.600633914421553,18.93,Small,-75.72
7153,PINE STATE TRADING CO,5818,0.78,0.99,50.0,Tomahawk Maple Cream Liqueur,25,19.5,113,62.37,111.87,5.7700000000000005,15884.82,92.37,4.52,82.56905336551354,5.736923076923077,0.78,Small,-68.64
4425,MARTIGNETTI COMPANIES,27033,19.73,29.99,750.0,Penfolds B28 Shiraz/Kalimna,1,19.73,27,725.7800000000001,890.73,2.97,144929.24,871.0,27.0,97.78496289560248,45.14597060314242,19.73,Small,-512.98
7245,PROXIMO SPIRITS INC.,928,20.14,27.99,750.0,Hangar One Citron,1,20.14,1,27.99,27.99,0.79,38994.78,7.849999999999998,1.0,28.04573061807788,1.3897715988083414,20.14,Small,0.0
12546,JIM BEAM BRANDS COMPANY,2396,20.15,29.99,750.0,Auchentoshan Classic Scotch,1,20.15,12,299.9,359.88,9.47,123880.97,339.73,12.0,94.4009114149161,17.860049627791565,20.15,Small,-221.64999999999998
10754,PERFECTA WINES,22075,20.4,29.99,750.0,Kesselstatt Piesporter Gold,1,20.4,31,539.8199999999999,929.6899999999999,3.45,28720.52,909.29,31.0,97.80572018629866,45.57303921568627,20.4,Small,-612.0
17035,PERNOD RICARD USA,29361,6.81,10.49,750.0,Brancott Estate 'B' Svgn Bl,3,20.43,3,20.98,31.47,0.33,123780.22,11.04,1.0,35.08102955195424,1.540381791483113,6.81,Small,0.0
4425,MARTIGNETTI COMPANIES,25018,20.68,29.99,750.0,L'Enclos de Viaud Lalande Po,1,20.68,105,2369.21,3148.95,11.59,144929.24,3128.27,105.0,99.34327315454358,152.27030947775629,20.68,Small,-2150.72
4425,MARTIGNETTI COMPANIES,25130,20.68,29.99,750.0,Stratus Cab Franc VQA,1,20.68,74,1649.4499999999998,2219.2599999999998,8.19,144929.24,2198.58,74.0,99.06815785441995,107.31431334622823,20.68,Small,-1509.6399999999999
